"id","benefit_id","name","type","masterdata_table","use_masterdata","masterdata_table_key","masterdata_table_value","masterdata_table_condition","validation_rules","error_messages","options","order","use_prefilled_data","prefilled_data_type","prefilled_vault_data_key","prefilled_worker_data_table","prefilled_worker_data_key","use_masterdata_value","masterdata_value_table","masterdata_value_table_key","masterdata_value_table_value","is_required","is_readonly","is_hidden","is_disabled","is_dependent_field","dependent_field_id","dependent_field_value","status","created_at","updated_at","deleted_at"
"1","2","district","select","districts",True,"district_code","district_name","state_code=18","{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 05:56:32","2025-07-04 05:56:32",NULL
"2","2","name_of_applicant","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 05:59:41","2025-07-04 05:59:41",NULL
"3","2","address_of_hospital","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:28:46","2025-07-04 06:28:46",NULL
"4","2","name_of_hospital_where_child_was_born","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:29:30","2025-07-04 06:29:30",NULL
"5","2","age_of_applicant","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:30:47","2025-07-04 06:30:47",NULL
"6","3","district","select","districts",True,"district_code","district_name","state_code=18","{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:36:14","2025-07-04 06:36:14",NULL
"7","3","applicant_first_name","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:37:07","2025-07-04 06:37:07",NULL
"8","3","applicant_last_name","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:37:43","2025-07-04 06:37:43",NULL
"9","3","address_of_applicant","text",NULL,NULL,NULL,NULL,NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:39:33","2025-07-04 06:39:33",NULL
"10","3","category_of_applicant","select","categories",True,"category_code","category_name",NULL,"{""required"": true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-04 06:41:10","2025-07-04 06:41:10",NULL
