"id","name","guard_name","created_at","updated_at"
"1","view role","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"2","create role","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"3","update role","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"4","delete role","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"5","view permission","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"6","create permission","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"7","update permission","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"8","delete permission","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"9","view user","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"10","create user","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"11","update user","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"12","user management","web","2024-09-16 11:13:56","2024-09-16 11:13:56"
"13","admin dashboard","web","2024-09-16 11:14:45","2024-09-16 11:14:45"
"14","masterdata management","web","2024-09-16 11:15:11","2024-09-16 11:15:11"
"15","view state","web","2024-09-16 11:15:29","2024-09-16 11:15:29"
"16","create state","web","2024-09-16 11:16:28","2024-09-16 11:16:28"
"17","update state","web","2024-09-16 11:16:38","2024-09-16 11:16:38"
"18","view district","web","2024-09-16 11:17:25","2024-09-16 11:17:25"
"19","create district","web","2024-09-16 11:17:35","2024-09-16 11:17:35"
"20","update district","web","2024-09-16 11:17:44","2024-09-16 11:17:44"
"21","create subdistrict","web","2024-09-16 11:18:21","2024-09-16 11:18:21"
"22","update subdistrict","web","2024-09-16 11:18:29","2024-09-16 11:18:29"
"23","delete subdistrict","web","2024-09-16 11:18:39","2024-09-16 11:18:39"
"24","view subdistrict","web","2024-09-16 11:19:13","2024-09-16 11:19:13"
"25","view postoffice","web","2024-09-16 11:19:38","2024-09-16 11:19:38"
"26","create postoffice","web","2024-09-16 11:19:50","2024-09-16 11:19:50"
"27","update postoffice","web","2024-09-16 11:19:58","2024-09-16 11:19:58"
"28","delete postoffice","web","2024-09-16 11:20:05","2024-09-16 11:20:05"
"29","view bank","web","2024-09-16 11:20:35","2024-09-16 11:20:35"
"30","create bank","web","2024-09-16 11:20:44","2024-09-16 11:20:44"
"31","update bank","web","2024-09-16 11:20:53","2024-09-16 11:20:53"
"32","delete bank","web","2024-09-16 11:21:00","2024-09-16 11:21:00"
"33","view category","web","2024-09-16 11:21:13","2024-09-16 11:21:13"
"34","create category","web","2024-09-16 11:21:21","2024-09-16 11:21:21"
"35","update category","web","2024-09-16 11:21:29","2024-09-16 11:21:29"
"36","delete category","web","2024-09-16 11:21:37","2024-09-16 11:21:37"
"37","view education","web","2024-09-16 11:22:11","2024-09-16 11:22:11"
"38","create education","web","2024-09-16 11:22:20","2024-09-16 11:22:20"
"39","update education","web","2024-09-16 11:22:28","2024-09-16 11:22:28"
"40","delete education","web","2024-09-16 11:22:38","2024-09-16 11:22:38"
"41","view gender","web","2024-09-16 11:23:02","2024-09-16 11:23:02"
"42","create gender","web","2024-09-16 11:23:09","2024-09-16 11:23:09"
"43","update gender","web","2024-09-16 11:23:17","2024-09-16 11:23:17"
"44","delete gender","web","2024-09-16 11:23:26","2024-09-16 11:23:26"
"45","view housetype","web","2024-09-16 11:23:40","2024-09-16 11:23:40"
"46","create housetype","web","2024-09-16 11:23:55","2024-09-16 11:23:55"
"47","update housetype","web","2024-09-16 11:24:05","2024-09-16 11:24:05"
"48","delete housetype","web","2024-09-16 11:24:18","2024-09-16 11:24:18"
"49","view marital","web","2024-09-16 11:24:44","2024-09-16 11:24:44"
"50","create marital","web","2024-09-16 11:24:50","2024-09-16 11:24:50"
"51","update marital","web","2024-09-16 11:24:57","2024-09-16 11:24:57"
"52","delete marital","web","2024-09-16 11:25:03","2024-09-16 11:25:03"
"53","view nature of work","web","2024-09-16 11:25:18","2024-09-16 11:25:18"
"54","create nature of work","web","2024-09-16 11:25:25","2024-09-16 11:25:25"
"55","update nature of work","web","2024-09-16 11:25:33","2024-09-16 11:25:33"
"56","delete nature of work","web","2024-09-16 11:25:41","2024-09-16 11:25:41"
"57","view residence type","web","2024-09-16 11:26:01","2024-09-16 11:26:01"
"58","create residence type","web","2024-09-16 11:26:10","2024-09-16 11:26:10"
"59","update residence type","web","2024-09-16 11:26:44","2024-09-16 11:26:44"
"60","delete residence type","web","2024-09-16 11:27:01","2024-09-16 11:27:01"
"61","view issuer type","web","2024-09-16 11:27:22","2024-09-16 11:27:22"
"62","create issuer type","web","2024-09-16 11:27:28","2024-09-16 11:27:28"
"63","update issuer type","web","2024-09-16 11:27:35","2024-09-16 11:27:35"
"64","delete issuer type","web","2024-09-16 11:27:42","2024-09-16 11:27:42"
"65","view work type","web","2024-09-18 07:13:12","2024-09-18 07:13:24"
"66","create work type","web","2024-09-18 07:13:34","2024-09-18 07:13:34"
"67","update work type","web","2024-09-18 07:13:45","2024-09-18 07:13:45"
"68","delete work type","web","2024-09-18 07:13:56","2024-09-18 07:13:56"
"69","view designation","web","2024-09-18 07:14:29","2024-09-18 07:14:29"
"70","create designation","web","2024-09-18 07:14:37","2024-09-18 07:14:37"
"71","update designation","web","2024-09-18 07:14:45","2024-09-18 07:14:45"
"72","delete designation","web","2024-09-18 07:14:53","2024-09-18 07:14:53"
"73","view age proof","web","2024-09-18 07:15:51","2024-09-18 07:15:51"
"74","create age proof","web","2024-09-18 07:15:58","2024-09-18 07:15:58"
"75","update age proof","web","2024-09-18 07:16:06","2024-09-18 07:16:06"
"76","delete age proof","web","2024-09-18 07:16:14","2024-09-18 07:16:21"
"77","view scheme","web","2024-09-18 07:16:31","2024-09-18 07:16:31"
"78","create scheme","web","2024-09-18 07:16:40","2024-09-18 07:16:40"
"79","update scheme","web","2024-09-18 07:16:47","2024-09-18 07:16:47"
"80","delete scheme","web","2024-09-18 07:16:54","2024-09-18 07:16:54"
"81","view profession","web","2024-09-18 07:17:05","2024-09-18 07:17:05"
"82","create profession","web","2024-09-18 07:17:14","2024-09-18 07:17:14"
"83","update profession","web","2024-09-18 07:17:22","2024-09-18 07:17:22"
"84","delete profession","web","2024-09-18 07:17:38","2024-09-18 07:17:38"
"85","view skill","web","2024-09-18 07:18:07","2024-09-18 07:18:07"
"86","create skill","web","2024-09-18 07:18:36","2024-09-18 07:18:36"
"87","update skill","web","2024-09-18 07:18:43","2024-09-18 07:18:43"
"88","delete skill","web","2024-09-18 07:18:51","2024-09-18 07:18:51"
"89","view ration type","web","2024-09-18 07:19:01","2024-09-18 07:19:01"
"90","create ration type","web","2024-09-18 07:19:11","2024-09-18 07:19:11"
"91","update ration type","web","2024-09-18 07:19:19","2024-09-18 07:19:19"
"92","delete ration type","web","2024-09-18 07:19:28","2024-09-18 07:19:28"
"93","view amount","web","2024-09-18 07:19:43","2024-09-18 07:19:43"
"94","create amount","web","2024-09-18 07:19:53","2024-09-18 07:19:53"
"95","update amount","web","2024-09-18 07:20:00","2024-09-18 07:20:00"
"96","delete amount","web","2024-09-18 07:20:07","2024-09-18 07:20:07"
"97","office management","web","2024-09-18 07:21:00","2024-09-18 07:21:00"
"98","view office","web","2024-09-18 07:21:13","2024-09-18 07:21:13"
"99","create office","web","2024-09-18 07:21:21","2024-09-18 07:21:21"
"100","update office","web","2024-09-18 07:21:28","2024-09-18 07:21:28"
"101","delete office","web","2024-09-18 07:21:35","2024-09-18 07:21:35"
"102","content management","web","2024-09-18 07:22:19","2024-09-18 07:22:19"
"103","view mis data","web","2024-09-18 07:22:43","2024-09-18 07:22:43"
"104","office dashboard","web","2024-09-18 07:23:29","2024-09-18 07:23:29"
"105","view application list","web","2024-09-18 07:23:49","2024-09-18 07:23:49"
"106","view received application","web","2024-09-18 07:24:06","2024-09-18 07:24:06"
"107","view pending application","web","2024-09-18 07:24:17","2024-09-18 07:24:17"
"108","view forwarded application","web","2024-09-18 07:24:31","2024-09-18 07:24:31"
"109","view approved application","web","2024-09-18 07:24:42","2024-09-18 07:24:42"
"110","view rejected application","web","2024-09-18 07:28:07","2024-09-18 07:28:07"
"111","view reverted application","web","2024-09-18 07:28:26","2024-09-18 07:28:26"
"112","view forwardedbyda application","web","2024-09-18 07:28:52","2024-09-18 07:28:52"
"113","digital signature","web","2024-09-18 07:29:05","2024-09-18 07:29:05"
"114","dsc registration","web","2024-09-18 07:29:17","2024-09-18 07:29:17"
"115","sign application","web","2024-09-18 07:29:29","2024-09-18 07:29:29"
