"id", "name_of_pfc", "pfc_name", "postal_address", "pin_code", "nearby_landmark", "latitude", "longitude","district_code"
1,"Barpeta", "Bajali Block Office", "Bajali Development Block, Choukhuty, Near Canara Bank Choukhuty, Vill: Barbang, Po: Barbang, Ps: Patacharkuchi, Dist: Bajali, Pin: 781325","781325","Near Canara Bank Choukhuty","26.531096","91.190565","280"
2,"Barpeta", "Barpeta Block Office", "Keotkuchi, Po: Keotkuchi, Ps: Barpeta, Dist: Barpeta, Assam","781309","Barpeta Dev Block Office","26.33428","91.00647","280"
3,"Barpeta", "Bhawani pur Block Office", "Sarupeta, P.O: Sarupeta, P.S: Patacharkuchi, Dist: Bajali, Assam","781318","Near Circle Office and BHB College Sarupeta","26.495054","91.067534","280"
4,"Barpeta", "Chakchaka Block Office", "Vill: Noontala, Po: Bairapur Noontala, Ps: Sorbhog, Dist: Barpeta, Assam","781317","Near Gonesh Mandir, Noontola","26.499055","90.855166","280"
5,"Barpeta", "Chenga Block Office", "Chenga-Bahari Rd, Kaltali, Dist: Barpeta, Assam","781302","Near Circle Office","26.268079","91.153681","280"
6,"Barpeta", "Gomaphulbari Block Office", "Vill: Bhogerpar, Po: Bhogerpar, Ps: Tarabari, Dist: Barpeta, Assam","781309","Near Suha High School","26.261292","91.081809","280"
7,"Barpeta", "Mandia BDO", "Vill: 1 No Bardalani, Po: Mandia, Ps: Baghbar, Dist: Barpeta, Assam","781308","Near Mandia Sub Registrar","26.276226","90.945805","280"
8,"Barpeta", "Pakabetabari Block Office", "Paka Betbari Dev Block Office, Vill: Chakir Bhitha, Po: Khablar Bhitha, P.S: Barpeta, Dist: Barpeta","781352","Pakabetbari Dev Block","26.40012","91.06991","280"
9,"Barpeta", "Ruposi Block Office", "Near Kalgachia Chariali, Po: Kalgachia, Ps: Kalgachia, Dist: Barpeta, Assam","781319","Near Kalgachia Block Primary Health Centre (BPHC)","26.358403","90.870331","280"
10,"Barpeta", "Sarukhetri Block Office", "Sarukhetri Development Block, Lachima, Vill: Lachima, P.O & P.S: Sarthebari, Dist: Barpeta, Assam","781307","Near Gohai Chupa Namghar","26.354581","91.209282","280"
11,"Barpeta", "Barpeta Deputy Registrar Office", "Near SP Office Barpeta, Barpeta Town, B.B Road, Dist: Barpeta, Assam","781301","Near District Agriculture Office","26.332225","91.010493","280"
12,"Barpeta", "Sorbhog Sub Registrar", "Sub Registrar & Marriage Office Sorbhog, Po+Ps: Sorbhog, Dist: Barpeta, Assam","781317","Barnagar Rev. Circle Office","26.47921","90.88133","280"
13,"Barpeta", "Kalgachia Sub-Registrar Office", "Kalgachia Chariali, Po+Ps: Kalgachia, Dist: Barpeta, Assam","781319","Near Fish Market","26.360328","90.871609","280"
