"post_office_id","post_office_name","pin_code","district_code","state_code"
"1","Peddakotla B.O","515631","776","28"
"2","Pinnadhari B.O","515631","776","28"
"3","Yerraguntapalle B.O","515631","776","28"
"4","Obulareddipalli B.O","515581","776","28"
"5","Odulapalli B.O","515581","776","28"
"6","Peddannavaripalli B.O","515581","776","28"
"7","Velichelamala B.O","515581","776","28"
"8","Gurrambailu B.O","515571","776","28"
"9","Marrimakulapalle B.O","515631","776","28"
"10","Modugulakunta B.O","515631","776","28"
"11","Kovvurivandlapalle B.O","515581","776","28"
"12","Nuthanakalva B.O","515581","776","28"
"13","Somalavandlapalle B.O","515581","776","28"
"14","Vepamanipeta B.O","515581","776","28"
"15","Ethodu B.O","515571","776","28"
"16","Pedaballi B.O","515571","776","28"
"17","Vankapalle B.O","515571","776","28"
"18","Hallikera Devarahalli B.O","515311","776","28"
"19","Inagalur B.O","515311","776","28"
"20","Kodihalli B.O","515311","776","28"
"21","Tammadehalli B.O","515281","776","28"
"22","Bussaiahgaripalli B.O","515241","776","28"
"23","Haludi B.O","515311","776","28"
"24","Madhudi B.O","515311","776","28"
"25","Narasambudi B.O","515311","776","28"
"26","P.Byadagere B.O","515311","776","28"
"27","Ragalinganahalli B.O","515311","776","28"
"28","Agraharam B.O","515281","776","28"
"29","Aladahalli B.O","515281","776","28"
"30","Chitnaduku B.O","515281","776","28"
"31","Halkur B.O","515281","776","28"
"32","Budidagaddapalli B.O","515241","776","28"
"33","Kavuluru BO","534176","523","28"
"34","Kathrang BO","813105","190","10"
"35","Mohiuddivpur BO","813105","192","10"
"36","Sanjha BO","813105","190","10"
"37","Singhnan BO","813105","190","10"
"38","Kasri BO","813203","192","10"
"39","Mahesh Munda BO","813203","192","10"
"40","Sangitbaita BO","813203","192","10"
"41","Akidatpur BO","853202","192","10"
"42","Lokmanpur BO","853202","192","10"
"43","Raghopur BO","853202","192","10"
"44","Tulsipur Jamunia BO","853202","192","10"
"45","Barani BO","813222","192","10"
"46","Nandlalpur BO","813222","192","10"
"47","Baluachak BO","812005","192","10"
"48","Khutaha BO","812005","192","10"
"49","Sahjatpur BO","812005","192","10"
"50","Bharakhand Naybas BO","853203","192","10"
"51","Nagarpara BO","853203","192","10"
"52","Raipur BO","853203","192","10"
"53","Sathishnagar BO","853203","192","10"
"54","Dariapur BO","812006","192","10"
"55","Haridaspur BO","812006","192","10"
"56","Sajour BO","812006","192","10"
"57","Bhowadeorhi BO","853204","205","10"
"58","Dharahara BO","853204","192","10"
"59","Dimaha BO","853204","192","10"
"60","Khairpurkadwa BO","853204","192","10"
"61","Latra BO","853204","192","10"
"62","Madrauni BO","853204","192","10"
"63","Mohanpur BO","853204","192","10"
"64","Pakra B.O","853204","192","10"
"65","Sahuparbatta BO","853204","192","10"
"66","Amapali BO","813209","192","10"
"67","Mohanpur Govinpur BO","813209","192","10"
"68","Rifatpur BO","813209","192","10"
"69","Palavalasa B.O","530052","520","28"
"70","Sreedharghatta B.O","515871","776","28"
"71","N.Thimmapuram B.O","515842","776","28"
"72","Poliki B.O","515842","776","28"
"73","Dosaludiki B.O","515803","776","28"
"74","Kottala B.O","515803","776","28"
"75","Ayyavaripalli B.O","515775","776","28"
"76","Chinnavadugur B.O","515405","776","28"
"77","Muradi B.O","515865","776","28"
"78","Obulapuram B.O","515865","776","28"
"79","Pallepalli B.O","515865","776","28"
"80","Appecharla B.O","515455","776","28"
"81","Chandana B.O","515455","776","28"
"82","Lakshumpalli B.O","515455","776","28"
"83","Chittur B.O","515611","776","28"
"84","Illuru B.O","515611","776","28"
"85","Kallumadi B.O","515611","776","28"
"86","Avuladatla B.O","515867","776","28"
"87","B.N.Halli B.O","515867","776","28"
"88","Belodu B.O","515867","776","28"
"89","Rayampalli B.O","515812","776","28"
"90","Renimakulapalli B.O","515812","776","28"
"91","Shaikshanipalli B.O","515812","776","28"
"92","Undabanda B.O","515812","776","28"
"93","Gadehothur B.O","515832","776","28"
"94","Kamalapadu B.O","515832","776","28"
"95","Bollanaguddem B.O","515870","776","28"
"96","Ramavaram B.O","531173","520","28"
"97","Bhandevupuram B.O","531219","520","28"
"98","Singanahalli B.O","515871","776","28"
"99","Uddihal B.O","515871","776","28"
"100","Kadadarabenchi B.O","515842","776","28"
