"subdistrict_code","district_code","state_code","subdistrict_name"
"1","8","1","Kupwara"
"2","8","1","Handwara"
"3","8","1","Karnah"
"4","2","1","Khag"
"5","2","1","Beerwah"
"6","2","1","Khansahib"
"7","2","1","Budgam"
"8","2","1","Chadoora"
"9","2","1","Charar- E- Shrief"
"10","9","37","Leh"
"11","9","37","Sumoor"
"12","9","37","Khaltsi"
"13","6","37","Kargil"
"14","6","37","Sankoo"
"15","6","37","Zanskar"
"16","10","1","Haveli"
"17","10","1","Mandi"
"18","10","1","Mendhar"
"19","10","1","Surankote"
"20","12","1","Thana Mandi"
"21","12","1","Darhal"
"22","12","1","Rajouri"
"24","12","1","Kalakote"
"25","12","1","Nowshera"
"26","12","1","Sundarbani"
"27","7","1","Billawar"
"28","7","1","Basohli"
"29","7","1","Bani"
"30","7","1","Kathua"
"31","7","1","Hiranagar"
"32","3","1","Sopore"
"33","3","1","Rafiabad"
"34","3","1","Pattan"
"35","3","1","Baramulla"
"36","3","1","Kreeri"
"37","3","1","Uri"
"38","3","1","Boniyar"
"39","3","1","Tangmarg"
"40","623","1","Gurez"
"41","623","1","Bandipora"
"42","623","1","Sonawari"
"43","13","1","Srinagar (North)"
"44","13","1","Srinagar (South)"
"45","626","1","Lar"
"46","626","1","Kangan"
"47","626","1","Ganderbal"
"48","11","1","Pampore"
"49","11","1","Awantipora"
"50","11","1","Tral"
"51","11","1","Pulwama"
"52","625","1","Shopian"
"53","1","1","Pahalgam"
"54","1","1","Bijbehara"
"55","1","1","Anantnag"
"56","1","1","Shangus"
"57","1","1","Kokernag"
"58","1","1","Dooru"
"59","622","1","Kulgam"
"60","622","1","Devsar"
"61","622","1","D H Pora"
"62","4","1","Doda"
"63","4","1","Thathri"
"65","4","1","Bhaderwah"
"66","621","1","Banihal"
"67","621","1","Ramban"
"68","620","1","Kishtwar"
"69","620","1","Marwah"
"70","620","1","Chhatroo"
"71","620","1","Atholi (Paddar)"
"72","14","1","Udhampur"
"73","14","1","Chenani"
"74","14","1","Ramnagar"
"75","14","1","Majalta"
"77","627","1","Reasi"
"78","5","1","Akhnoor"
"79","5","1","Jammu"
"80","5","1","Ranbir Singh Pura"
"81","5","1","Bishnah"
"82","624","1","Samba"
"83","16","2","Pangi"
"84","16","2","Churah"
"85","16","2","Saluni"
"86","16","2","Bhalai"
"87","16","2","Dalhousie"
"88","16","2","Bhattiyat"
"89","16","2","Sihunta"
"90","16","2","Chamba"
"91","16","2","Holi"
"92","16","2","Bharmour"
"93","18","2","Nurpur"
"94","18","2","Indora"
"95","18","2","Fatehpur"
"96","18","2","Jawali"
"97","18","2","Harchakian"
"98","18","2","Shahpur"
"99","18","2","Dharmsala"
"100","18","2","Kangra"
"101","18","2","Nagrota Bagwan"
"102","18","2","Baroh"
"103","18","2","Dera Gopipur"
"104","18","2","Jawalamukhi"
"105","18","2","Jaswan"
"106","18","2","Rakkar"
"107","18","2","Khundian"
"108","18","2","Thural"
"109","18","2","Dhira"
"110","18","2","Jaisinghpur"
"111","18","2","Palampur"
"112","18","2","Baijnath"
"113","18","2","Multhan"
"114","21","2","Udaipur"
"115","21","2","Lahul"
"116","21","2","Spiti"
"117","20","2","Manali"
"118","20","2","Kullu"
"119","20","2","Sainj"
"120","20","2","Banjar"
"121","20","2","Ani"
"122","20","2","Nirmand"
"123","22","2","Padhar"
"124","22","2","Jogindarnagar"
"125","22","2","Lad Bharol"
"126","22","2","Sandhol"
"127","22","2","Dharmpur"
"128","22","2","Kotli"
"129","22","2","Sarkaghat"
"130","22","2","Bhadrota"
"131","22","2","Baldwara"
"132","22","2","Sundarnagar"
"133","22","2","Mandi"
"134","22","2","Aut"
"135","22","2","Bali Chowki"
"136","22","2","Thunag"
"137","22","2","Chachyot"
"138","22","2","Nihri"
"139","22","2","Karsog"
"140","17","2","Tira Sujanpur"
"141","17","2","Nadaun"
"142","17","2","Galore"
"143","17","2","Hamirpur"
"144","17","2","Barsar"
"145","17","2","Dhatwal"
"146","17","2","Bhoranj"
"147","26","2","Bharwain"
"148","26","2","Amb"
"149","26","2","Bangana"
"150","26","2","Una"
"151","26","2","Haroli"
"152","15","2","Ghumarwin"
"153","15","2","Bharari"
"154","15","2","Jhanduta"
"155","15","2","Naina Devi"
"156","15","2","Bilaspur Sadar"
"157","15","2","Namhol"
"158","25","2","Arki"
"159","25","2","Darlaghat"
"160","25","2","Ramshahr"
"161","25","2","Nalagarh"
"162","25","2","Baddi"
"163","25","2","Krishangarh"
"164","25","2","Kasauli"
"165","25","2","Solan"
"166","25","2","Kandaghat"
"167","24","2","Rajgarh"
"168","24","2","Nohra"
"169","24","2","Pachhad"
"170","24","2","Renuka"
"171","24","2","Dadahu"
"172","24","2","Nahan"
"173","24","2","Paonta Sahib"
"174","24","2","Kamrau"
"175","24","2","Shalai"
"176","24","2","Ronhat"
"177","23","2","Rampur"
"178","23","2","Nankhari"
"179","23","2","Kumarsain"
"180","23","2","Sunni"
"181","23","2","Shimla ( Rural )"
"182","23","2","Shimla (Urban)"
"183","23","2","Junga"
"184","23","2","Theog"
"185","23","2","Chaupal"
"186","22","2","Bagachnogi"
"187","23","2","Nerwa"
"188","23","2","Jubbal"
"189","23","2","Kotkhai"
"190","23","2","Tikar"
"191","23","2","Rohru"
"192","23","2","Chirgaon"
"193","23","2","Dodra Kwar"
"194","19","2","Hangrang"
"195","19","2","Poo"
"196","19","2","Morang"
"197","19","2","Kalpa"
"198","19","2","Nichar"
"199","19","2","Sangla"
"200","662","3","Dhar Kalan"
"201","662","3","Pathankot"
"202","32","3","Gurdaspur"
"203","32","3","Batala"
"204","32","3","Dera Baba Nanak"
"205","35","3","Bhulath"
